event_id,match_id,line,slot,x,y,ball_x,ball_y,dx_from_line
e77dea0c-31fd-4b81-a8be-07d74e7cb3f3,3930158,mid,7,51.638742574665635,63.66642321072453,35.5,76.9,0.7697459422723014
2a5a2b8e-950a-40b8-83fb-948053b9b29c,3930158,back,0,48.587868175591616,9.611287014635273,61.9,59.2,-1.399398165656443
2a5a2b8e-950a-40b8-83fb-948053b9b29c,3930158,back,1,45.64289049396489,18.97704585476702,61.9,59.2,-4.3443758472831675
2a5a2b8e-950a-40b8-83fb-948053b9b29c,3930158,back,2,55.85933591446395,19.523702299303366,61.9,59.2,5.872069573215889
2a5a2b8e-950a-40b8-83fb-948053b9b29c,3930158,back,3,50.33617192564876,20.310377018612407,61.9,59.2,0.34890558440070407
2a5a2b8e-950a-40b8-83fb-948053b9b29c,3930158,back,4,49.5100651965711,40.95638949282576,61.9,59.2,-0.47720114467696106
2a5a2b8e-950a-40b8-83fb-948053b9b29c,3930158,mid,5,56.220454346370644,16.789437955657554,61.9,59.2,-2.404118661051143
2a5a2b8e-950a-40b8-83fb-948053b9b29c,3930158,mid,6,61.51958797975037,18.99439952969238,61.9,59.2,2.895014972328582
2a5a2b8e-950a-40b8-83fb-948053b9b29c,3930158,mid,7,58.55824894062668,19.79447838743419,61.9,59.2,-0.06632406679510439
2a5a2b8e-950a-40b8-83fb-948053b9b29c,3930158,mid,8,58.20000076293945,20.899999618530273,61.9,59.2,-0.4245722444823343
7f3ffb7e-a336-4627-87a7-e5dd8012eaf5,3930158,back,0,53.73053864596754,35.45840385851248,42.1,62.7,1.1392145544355756
7f3ffb7e-a336-4627-87a7-e5dd8012eaf5,3930158,back,1,56.96948370600812,43.29341674932108,42.1,62.7,4.378159614476154
7f3ffb7e-a336-4627-87a7-e5dd8012eaf5,3930158,back,2,45.64208686994607,49.90265956190857,42.1,62.7,-6.949237221585896
7f3ffb7e-a336-4627-87a7-e5dd8012eaf5,3930158,back,3,56.491286394081754,54.56913801746218,42.1,62.7,3.8999623025497883
7f3ffb7e-a336-4627-87a7-e5dd8012eaf5,3930158,back,4,50.12322484165634,62.520202174105115,42.1,62.7,-2.4680992498756282
7f3ffb7e-a336-4627-87a7-e5dd8012eaf5,3930158,mid,5,67.2312367769484,41.952194217430964,42.1,62.7,-0.328332322943524
7f3ffb7e-a336-4627-87a7-e5dd8012eaf5,3930158,mid,6,67.39229758861174,50.930858443714136,42.1,62.7,-0.16727151128019102
7f3ffb7e-a336-4627-87a7-e5dd8012eaf5,3930158,mid,7,68.81269515874166,63.52018722671009,42.1,62.7,1.2531260588497304
7f3ffb7e-a336-4627-87a7-e5dd8012eaf5,3930158,mid,8,66.80204687526592,69.40447022416885,42.1,62.7,-0.7575222246260154
8075d343-e74d-4a27-aa90-8394d7ca34cb,3930158,back,0,53.73053864596754,35.45840385851248,42.1,62.7,1.1392145544355756
8075d343-e74d-4a27-aa90-8394d7ca34cb,3930158,back,1,56.96948370600812,43.29341674932108,42.1,62.7,4.378159614476154
8075d343-e74d-4a27-aa90-8394d7ca34cb,3930158,back,2,45.64208686994607,49.90265956190857,42.1,62.7,-6.949237221585896
8075d343-e74d-4a27-aa90-8394d7ca34cb,3930158,back,3,56.491286394081754,54.56913801746218,42.1,62.7,3.8999623025497883
8075d343-e74d-4a27-aa90-8394d7ca34cb,3930158,back,4,50.12322484165634,62.520202174105115,42.1,62.7,-2.4680992498756282
