update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,entropy,approx_kl,clipfrac,ev,phi_r2,ev_resid,h_dir_car,h_dir_off,h_spd_car,h_spd_off,h_ball_car,h_ball_off
670,514560,0.0002845852534562212,488.0,0.71,1.668697,78.49,6173,-0.008575,0.024572,2.944366,0.006223,0.078003,0.366692,0.20494,0.315111,1.900524,1.910853,1.052388,1.022231,0.468799,0.0
680,522240,0.0002843548387096774,488.2,0.69,1.633317,77.13,6273,-0.007745,0.017514,2.93491,0.006123,0.080902,0.444815,0.209466,0.414457,1.870322,1.894284,1.050765,1.026804,0.560369,0.0
690,529920,0.0002841244239631336,488.4,0.73,1.665111,94.12,6354,-0.007114,0.009295,2.926193,0.005239,0.060822,0.674317,0.207882,0.66375,1.884471,1.903948,1.0335,1.014939,0.475821,0.0
700,537600,0.0002838940092165898,488.7,0.7,1.668608,80.66,6450,-0.006519,0.015065,2.919934,0.005008,0.061249,0.342086,0.12619,0.392545,1.937365,1.903753,1.028426,1.009891,0.646471,0.0
710,545280,0.0002836635944700461,488.8,0.7,1.607445,77.79,6548,-0.0077,0.034414,2.92054,0.005392,0.06308,0.302617,0.173566,0.219316,1.921125,1.906957,1.003945,0.998565,0.566671,0.0
720,552960,0.0002834331797235023,489.1,0.76,1.701721,80.84,6638,-0.007485,0.017981,2.875968,0.006035,0.067261,0.573078,0.370553,0.338945,1.896983,1.901068,0.958332,0.961475,0.673416,0.0
730,560640,0.0002832027649769585,489.3,0.75,1.709957,70.37,6743,-0.008289,0.009465,2.869544,0.00589,0.071869,0.506491,0.442222,0.190786,1.903338,1.912097,1.007264,0.956935,0.765753,0.0
740,568320,0.00028297235023041475,489.6,0.74,1.667551,64.1,6859,-0.009654,0.018585,2.949078,0.006166,0.078735,0.417759,0.310474,0.217641,1.879446,1.933312,1.020743,1.003787,0.681235,0.0
750,576000,0.00028274193548387096,489.8,0.63,1.579584,78.18,6959,-0.008129,0.014707,2.983942,0.005636,0.074524,0.59768,0.333448,0.407714,2.000106,1.980279,1.014565,0.99597,0.834526,0.0
760,583680,0.00028251152073732717,490.1,0.56,1.521999,100.38,7030,-0.010529,0.013631,2.955633,0.007345,0.097809,0.627074,0.416182,0.369552,1.960979,1.953854,1.031511,0.995195,0.708362,0.0
770,591360,0.0002822811059907834,490.3,0.66,1.606585,100.49,7115,-0.008764,0.011198,2.944752,0.005193,0.059692,0.668578,0.217603,0.676356,1.933921,1.931783,1.014129,1.002468,0.789627,0.0
