update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,entropy,approx_kl,clipfrac,ev,phi_r2,ev_resid,h_dir_car,h_dir_off,h_spd_car,h_spd_off,h_ball_car,h_ball_off
450,345600,0.0002896543778801843,510.8,0.02,0.919568,53.19,5695,-0.009059,0.001315,2.693951,0.005289,0.062622,0.968342,0.981073,-0.671733,1.75115,1.815622,0.891991,0.877009,1.001954,0.0
460,353280,0.0002894239631336405,510.9,0.01,0.86911,56.09,5833,-0.00844,0.00133,2.603183,0.00559,0.066315,0.962856,0.975336,-0.505849,1.796988,1.746305,0.845229,0.840021,1.057064,0.0
470,360960,0.0002891935483870967,511.0,0.05,0.919347,61.94,5956,-0.00654,0.009334,2.625952,0.005232,0.060211,0.774154,0.763519,0.047019,1.785543,1.74538,0.863952,0.869841,0.865546,0.0
480,368640,0.000288963133640553,511.0,0.03,0.894242,56.51,6085,-0.008484,0.00173,2.632516,0.005893,0.075317,0.964689,0.96686,-0.037057,1.726607,1.760784,0.866285,0.854497,0.415038,0.0
490,376320,0.0002887327188940092,511.1,0.06,0.885168,58.42,6214,-0.009713,0.002424,2.642844,0.006062,0.076477,0.946315,0.944351,0.100602,1.782493,1.728826,0.902013,0.903969,0.643348,0.0
500,384000,0.0002885023041474654,511.2,0.05,0.86966,66.26,6328,-0.008264,0.007639,2.69131,0.005528,0.066223,0.830455,0.789901,0.194717,1.73932,1.776145,0.911439,0.906166,0.83885,0.0
510,391680,0.0002882718894009216,510.8,0.06,0.918622,42.53,6490,-0.008759,0.002517,2.543378,0.005564,0.070282,0.935348,0.895574,0.468979,1.680313,1.719918,0.860785,0.801861,0.93514,0.0
520,399360,0.00028804147465437787,510.8,0.07,0.926146,56.24,6628,-0.006912,0.005024,2.598186,0.006055,0.078552,0.865064,0.71678,0.541667,1.712436,1.72402,0.86465,0.866139,0.855506,0.0
530,407040,0.0002878110599078341,510.7,0.03,0.919477,63.32,6755,-0.004469,0.009547,2.563395,0.006252,0.076935,0.808649,0.787703,0.116685,1.719117,1.716272,0.830594,0.839616,1.031923,0.0
540,414720,0.0002875806451612903,510.7,0.06,0.962405,61.61,6881,-0.008182,0.002709,2.583839,0.006269,0.078308,0.931293,0.915219,0.190787,1.81485,1.729593,0.888172,0.832239,1.098435,0.0
