update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,c_loss,entropy,approx_kl,clipfrac,ev,ev_slow,ev_crowd_disc,ev_success,c_slow,c_crowd,c_team,speed,n_succ,lam0,lam_slow,lam_crowd,lam_succ,boot
2200,1689600,9.732718894009215e-05,505.3,0.58,1.559322,93.58,31191,-0.004876,0.006745,0.002838,2.892922,0.002424,0.019501,0.593332,0.707728,0.358585,0.913954,0.736979,0.085938,0.967448,1.524117,8.0,0.973458,0.02407,0.000499,0.001972,0.0
2250,1728000,9.271889400921658e-05,503.8,0.49,1.504564,93.6,31616,-0.004323,0.023889,0.003172,2.879879,0.004542,0.038574,0.569055,0.720805,0.136328,0.736534,0.71875,0.09375,0.946615,1.582148,3.0,0.97624,0.02153,0.000463,0.001767,0.0
2300,1766400,8.811059907834102e-05,506.4,0.64,1.705174,88.68,32031,-0.005319,0.018477,0.002476,2.894136,0.004266,0.053162,0.401194,0.748763,0.413055,0.778727,0.667708,0.079427,0.833333,1.662431,7.0,0.979186,0.018778,0.000431,0.001606,0.0
2350,1804800,8.350230414746542e-05,507.9,0.6,1.621019,101.98,32409,-0.005013,0.018994,0.004201,2.963006,0.004182,0.039337,0.403101,0.704404,0.183126,0.775857,0.738542,0.114583,0.949219,1.50167,4.0,0.98146,0.016665,0.000402,0.001473,0.0
2400,1843200,7.889400921658985e-05,510.7,0.43,1.365411,97.13,32779,-0.003941,0.011127,0.002748,2.976099,0.003182,0.02829,0.576249,0.80188,0.547019,0.781711,0.784766,0.041667,0.996094,1.377645,2.0,0.981908,0.016351,0.000375,0.001366,0.0
2450,1881600,7.428571428571429e-05,507.1,0.51,1.496515,89.31,33195,-0.00448,0.019715,0.002765,2.899506,0.002277,0.017944,0.515572,0.769114,0.344562,0.627571,0.708073,0.061198,0.947917,1.539607,3.0,0.982734,0.015632,0.000352,0.001282,0.0
2500,1920000,6.967741935483871e-05,509.4,0.6,1.661715,101.98,33612,-0.004118,0.028175,0.002496,2.878684,0.004354,0.03775,0.423556,0.762554,0.466985,0.559495,0.635286,0.095052,0.830729,1.686322,5.0,0.984576,0.013896,0.00033,0.001197,0.0
2550,1958400,6.506912442396311e-05,508.7,0.61,1.662265,107.25,33962,-0.003869,0.009345,0.002608,2.86761,0.001999,0.009399,0.670902,0.766644,0.574763,0.879793,0.649349,0.032552,0.824219,1.701357,5.0,0.985468,0.013103,0.000311,0.001119,0.0
2600,1996800,6.046082949308755e-05,509.4,0.52,1.47841,126.08,34292,-0.003221,0.021709,0.002041,2.874426,0.002351,0.014191,0.516338,0.914974,0.372014,0.575131,0.632943,0.114583,0.796875,1.739272,3.0,0.986574,0.012091,0.000293,0.001042,0.0
2650,2035200,5.585253456221198e-05,507.3,0.61,1.642448,103.7,34641,-0.002547,0.015713,0.001396,2.96431,0.00142,0.002991,0.374982,0.821392,0.428813,0.772171,0.688542,0.044271,0.945312,1.592336,5.0,0.987505,0.011236,0.000276,0.000983,0.0
