pcf_r3,pcf_r5,pcf_r8,pcf_r12,pcf_r16,pcf_r20,pcf_r25,pcf_r30,pcf_r35,receiver_pcf,receiver_x,on_grid,receiver_def_dist,pass_length,lost_in_transit,lost_within_settle
0.9892386847593185,0.9791748914053494,0.8857427638171567,0.637280352060294,0.5293543200837405,0.5109425530917776,0.48687720163917364,0.4714459266449779,0.47600335808595595,0.9896451954987562,66.91254425048828,1,10.95618666785455,10.959308624267578,0,0
0.9922550740461946,0.9914905370553404,0.9834973335042223,0.8865474697139856,0.8029494861936031,0.7472022065777746,0.7177560275076044,0.6660844149379137,0.6166132759365321,0.9918775344252762,66.87967681884766,1,19.165516799056608,40.01076889038086,0,0
0.9266759169785743,0.8399605562683673,0.7313339636603313,0.6795798319918315,0.7008687458770908,0.7065783232592086,0.7171818077457378,0.7149210147230668,0.7085319218255686,0.9452577237461277,47.71900177001953,1,8.661286807540892,20.892053604125977,0,0
0.990009704403569,0.9798427406458763,0.9090883013336598,0.7832033355645958,0.7168680095042824,0.6694940279775395,0.6228659249154422,0.5512158570237153,0.5165917128327718,0.9895303694383686,66.6497802734375,1,13.2852947329465,19.00743865966797,0,0
0.9690902210149726,0.9120440445212775,0.7688301486792445,0.5639854024613556,0.4914084473553874,0.48776597235827557,0.5339257431856229,0.5550653564310764,0.5667457143160501,0.9777820615432589,61.44377136230469,1,9.445972042904879,16.6109619140625,0,0
0.9906896467343567,0.9877454697929854,0.9741437984531592,0.8887497131319471,0.793834673190009,0.7104862866506617,0.6401596712531525,0.5898873162224136,0.5538396954938397,0.9912454377610894,68.28667449951172,1,13.060847175821818,7.1422247886657715,0,0
0.9914972438074164,0.9883153490986241,0.9533559815104149,0.8837223777495687,0.8757214275871978,0.8781983561447171,0.8863413838715908,0.855523970326923,0.8353545709327725,0.330531490598453,42.3571891784668,0,14.132799094208043,30.291460037231445,0,0
0.5424954815751837,0.4195871477665377,0.3326934664222401,0.3320888209148623,0.36215520986882127,0.35728193620410975,0.3343737826934661,0.33743399478373964,0.3651215862603383,0.5382645741467462,75.16426849365234,1,3.026430166133677,36.752872467041016,0,0
0.9899713749755708,0.981827429494196,0.9264923752818011,0.8373952332935174,0.7769903060997565,0.718013176823454,0.6897419140614702,0.6782217112832655,0.6613328259939907,0.9902896826874689,54.40863800048828,1,13.163565600337058,20.471210479736328,1,1
0.9138947999154178,0.8583412993577054,0.7650200867873418,0.6817493140274823,0.6794482422017631,0.6874239059636891,0.6805784935628857,0.6619624307456726,0.597802465901123,0.9515592149619272,52.802345275878906,1,6.36831686263625,50.91834259033203,0,0
