event_id,frame,type,team,pcf_in_area,dist_to_goal_m,kept
338,24308,PASS,Away,0.4446,36.63,1
339,24393,PASS,Away,0.3777,33.3,1
340,24433,BALL LOST,Away,0.2546,25.79,0
341,24448,CHALLENGE,Away,0.2169,25.43,0
342,24450,CHALLENGE,Home,0.5003,99.19,0
344,24551,BALL LOST,Home,0.3768,94.6,0
348,24980,PASS,Home,0.8753,85.76,0
349,25074,CHALLENGE,Away,0.7218,43.6,0
350,25087,CHALLENGE,Home,0.3159,69.78,0
353,25476,PASS,Home,0.7041,62.11,1
354,25546,PASS,Home,0.7348,64.64,1
355,25595,CHALLENGE,Home,0.3776,60.86,0
356,25704,BALL LOST,Home,0.5579,41.9,0
360,26544,PASS,Home,0.9915,32.79,1
361,26590,PASS,Home,0.6006,18.4,1
362,26608,SHOT,Home,0.2391,5.68,0
364,27247,BALL LOST,Away,0.9913,100.74,0
365,27329,CHALLENGE,Home,0.401,62.23,0
367,27329,BALL LOST,Home,0.401,62.23,0
368,27330,CHALLENGE,Away,0.3565,53.68,0
370,27412,PASS,Away,0.6294,47.74,1
371,27534,PASS,Away,0.6083,43.54,1
372,27578,PASS,Away,0.6573,42.1,1
373,27609,PASS,Away,0.2553,31.78,1
374,27657,PASS,Away,0.4796,35.15,1
375,27711,BALL LOST,Away,0.6847,33.24,0
377,27724,PASS,Home,0.7874,85.85,1
378,27778,PASS,Home,0.5385,90.31,1
379,27797,PASS,Home,0.3376,86.03,1
380,27839,PASS,Home,0.3737,77.8,1
381,27942,PASS,Home,0.228,51.21,1
382,28079,BALL LOST,Home,0.3745,24.77,0
384,28339,PASS,Away,0.9771,91.22,1
385,28527,BALL LOST,Away,0.9428,54.41,0
389,28788,PASS,Away,0.9235,40.1,1
390,28858,PASS,Away,0.9058,41.18,1
391,28917,PASS,Away,0.3575,35.63,1
392,28956,PASS,Away,0.7128,40.68,1
393,29016,BALL LOST,Away,0.4445,35.58,0
395,29063,PASS,Home,0.4379,93.32,1
396,29096,PASS,Home,0.3095,77.68,1
397,29208,PASS,Home,0.4229,84.81,1
398,29264,BALL LOST,Home,0.379,86.83,0
400,29337,PASS,Away,0.3668,42.14,1
401,29394,PASS,Away,0.8819,31.44,1
402,29468,PASS,Away,0.5915,28.56,1
403,29517,BALL LOST,Away,0.8941,31.89,0
405,30368,BALL LOST,Home,0.992,91.66,0
407,30442,PASS,Away,0.5132,73.71,1
408,30503,BALL LOST,Away,0.2792,65.26,0
410,30593,PASS,Home,0.6232,44.1,1
411,30655,PASS,Home,0.5113,41.39,1
412,30708,PASS,Home,0.3684,43.99,1
413,30729,PASS,Home,0.425,47.37,1
414,30807,CHALLENGE,Home,0.1399,27.67,0
415,30807,BALL LOST,Home,0.1399,27.67,0
416,30807,CHALLENGE,Away,0.6955,81.29,0
418,30807,PASS,Away,0.6955,81.29,1
419,30867,BALL LOST,Away,0.5689,79.92,0
421,30933,PASS,Home,0.4346,45.43,1
422,30990,PASS,Home,0.3191,42.01,1
423,31037,PASS,Home,0.5358,35.14,1
424,31160,PASS,Home,0.3719,25.09,1
425,31190,SHOT,Home,0.9392,27.94,0
427,31546,PASS,Away,0.9919,102.09,1
428,31709,PASS,Away,0.5943,77.57,1
429,31738,BALL LOST,Away,0.3458,68.82,0
431,31743,BALL LOST,Home,0.3575,37.46,0
