update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,c_loss,entropy,approx_kl,clipfrac,ev,ev_slow,ev_success,c_slow,c_team,speed,n_succ,lam0,lam_slow,lam_succ,boot
1800,1382400,0.00013419354838709675,525.7,0.51,1.535598,70.17,20504,-0.003884,0.02538,0.00473,2.883845,0.00297,0.02594,0.736494,0.384148,0.088709,0.839714,1.0,1.206607,3.0,0.965452,0.009418,0.02513,0.0
1850,1420800,0.0001295852534562212,520.8,0.63,1.686079,75.17,20964,-0.005942,0.012537,0.002841,2.876264,0.004236,0.041992,0.696541,0.602967,0.623486,0.825911,0.997396,1.19347,7.0,0.974896,0.008223,0.016881,0.0
1900,1459200,0.0001249769585253456,527.4,0.62,1.659179,71.21,21458,-0.00665,0.02517,0.001972,2.95752,0.004791,0.059509,0.560203,0.73915,0.491926,0.834375,0.996094,1.307275,6.0,0.979321,0.008106,0.012572,0.0
1950,1497600,0.00012036866359447005,527.6,0.54,1.552867,76.78,21981,-0.005518,0.024569,0.003431,2.915061,0.003474,0.029999,0.580681,0.517947,0.509876,0.799609,0.988281,1.349704,5.0,0.984004,0.006274,0.009722,0.0
2000,1536000,0.00011576036866359445,521.8,0.53,1.554568,67.49,22488,-0.00543,0.01307,0.002123,2.882473,0.003845,0.041687,0.775165,0.658869,0.634104,0.747917,0.950521,1.456925,6.0,0.986563,0.005233,0.008204,0.0
2050,1574400,0.00011115207373271889,523.1,0.49,1.493923,57.63,23075,-0.004927,0.017446,0.002595,2.906247,0.004437,0.051758,0.217395,0.634143,0.711087,0.821224,0.994792,1.337895,7.0,0.988967,0.004037,0.006996,0.0
2100,1612800,0.00010654377880184331,527.3,0.6,1.653574,62.02,23628,-0.006079,0.015916,0.002206,2.965941,0.003621,0.036072,0.651028,0.64553,0.664179,0.797396,0.984375,1.350824,9.0,0.990321,0.003426,0.006253,0.0
2150,1651200,0.00010193548387096775,525.2,0.58,1.560136,62.25,24227,-0.004921,0.021432,0.002387,2.936396,0.00359,0.037476,0.474072,0.688845,0.40086,0.799609,0.97526,1.314851,11.0,0.991594,0.003123,0.005283,0.0
2200,1689600,9.732718894009215e-05,527.4,0.55,1.548391,84.75,24705,-0.005643,0.007218,0.003592,2.94661,0.004222,0.04422,0.791561,0.525208,0.69068,0.83724,0.997396,1.259338,6.0,0.992472,0.003085,0.004442,0.0
2250,1728000,9.271889400921658e-05,526.2,0.64,1.672631,86.95,25191,-0.003627,0.011934,0.002202,2.907415,0.001952,0.013031,0.617727,0.712398,0.682376,0.804297,0.988281,1.361757,7.0,0.993275,0.002786,0.003939,0.0
2300,1766400,8.811059907834102e-05,525.0,0.6,1.595977,74.1,25618,-0.004582,0.010681,0.002292,2.961833,0.003244,0.025879,0.762403,0.645624,0.705089,0.837109,0.994792,1.242142,6.0,0.993893,0.002647,0.003459,0.0
2350,1804800,8.350230414746542e-05,524.9,0.53,1.52264,97.1,26069,-0.004739,0.008034,0.003015,3.00692,0.004188,0.047638,0.849083,0.616278,0.665975,0.873177,0.998698,1.196569,4.0,0.994363,0.002539,0.003097,0.0
2400,1843200,7.889400921658985e-05,526.6,0.71,1.757978,69.84,26589,-0.004391,0.007231,0.001745,2.886586,0.003144,0.032166,0.826991,0.800173,0.728568,0.741927,0.959635,1.492805,11.0,0.994777,0.002385,0.002838,0.0
2450,1881600,7.428571428571429e-05,528.6,0.54,1.563632,70.31,27058,-0.004131,0.021632,0.002372,2.812032,0.003356,0.029724,0.626071,0.701304,0.457924,0.75026,0.96224,1.422736,4.0,0.995383,0.00207,0.002547,0.0
2500,1920000,6.967741935483871e-05,529.7,0.64,1.643888,85.26,27525,-0.004387,0.020016,0.003159,2.924823,0.002949,0.02536,0.531022,0.675984,0.623329,0.795964,0.976562,1.366055,7.0,0.995836,0.001844,0.002319,0.0
2550,1958400,6.506912442396311e-05,525.7,0.68,1.746414,67.23,28044,-0.004273,0.0046,0.001331,2.866432,0.002126,0.01355,0.871838,0.851038,0.76367,0.755729,0.96875,1.470285,8.0,0.996227,0.00167,0.002103,0.0
2600,1996800,6.046082949308755e-05,526.5,0.64,1.686604,76.95,28545,-0.004859,0.013977,0.001832,2.933754,0.003794,0.044952,0.663198,0.740837,0.575344,0.830599,1.0,1.226666,7.0,0.996573,0.001526,0.001901,0.0
2650,2035200,5.585253456221198e-05,527.6,0.67,1.710577,78.43,29019,-0.002172,0.028396,0.00444,2.903513,0.000885,0.000793,0.493613,0.395502,0.551309,0.850521,1.0,1.157223,2.0,0.99677,0.001472,0.001758,0.0
2700,2073600,5.1244239631336414e-05,525.5,0.68,1.72349,73.23,29546,-0.004577,0.024404,0.002666,2.943738,0.003566,0.039551,0.664777,0.73256,0.529815,0.794141,1.0,1.312227,7.0,0.996973,0.001395,0.001632,0.0
2750,2112000,4.663594470046081e-05,528.7,0.65,1.68786,69.79,30095,-0.002696,0.018463,0.002232,2.919005,0.001348,0.002441,0.649462,0.764309,0.537044,0.802604,0.988281,1.360334,7.0,0.997164,0.001336,0.0015,0.0
2800,2150400,4.2027649769585247e-05,528.5,0.65,1.696366,79.58,30634,-0.002705,0.006159,0.002203,3.016451,0.001204,0.002075,0.757954,0.79805,0.7897,0.883724,0.997396,1.160795,6.0,0.997359,0.001249,0.001392,0.0
2850,2188800,3.741935483870968e-05,526.0,0.63,1.68975,80.83,31128,-0.003049,0.019216,0.003239,2.89366,0.001583,0.005493,0.583266,0.661652,0.544278,0.805729,0.954427,1.354948,6.0,0.997491,0.001206,0.001303,0.0
2900,2227200,3.2811059907834113e-05,528.3,0.65,1.720432,76.93,31639,-0.002444,0.037468,0.003594,2.959941,0.000968,0.000488,0.390852,0.721305,0.530703,0.82474,0.981771,1.304961,6.0,0.997653,0.00112,0.001227,0.0
2950,2265600,2.8202764976958513e-05,526.5,0.61,1.651571,74.54,32167,-0.002461,0.014362,0.002342,2.959589,0.001129,0.001709,0.749548,0.787774,0.542657,0.804167,0.988281,1.35482,5.0,0.997811,0.001041,0.001148,0.0
3000,2304000,2.3594470046082947e-05,526.8,0.64,1.676385,71.96,32758,-0.002143,0.01894,0.002448,3.009537,0.000486,6.1e-05,0.786975,0.65347,0.383563,0.810547,0.988281,1.338387,6.0,0.997979,0.000938,0.001084,0.0
3050,2342400,1.898617511520738e-05,538.4,0.79,1.897117,76.14,33287,-0.00069,0.025925,0.002193,2.982017,0.000137,0.0,0.614028,0.773898,0.408032,0.790755,0.989583,1.38703,8.0,0.998105,0.000878,0.001017,0.0
3100,2380800,1.437788018433178e-05,541.4,0.72,1.802494,71.78,33794,-0.001113,0.030538,0.002068,2.936965,0.000206,0.0,0.590052,0.774204,0.539483,0.74375,0.894531,1.526419,7.0,0.998234,0.000815,0.00095,0.0
3150,2419200,9.769585253456213e-06,540.1,0.65,1.716905,69.09,34306,-0.000643,0.028855,0.002859,2.985727,5.8e-05,0.0,0.564768,0.706749,0.523117,0.784635,0.986979,1.408233,6.0,0.998354,0.000759,0.000887,0.0
3200,2457600,5.1612903225806465e-06,538.6,0.75,1.860727,77.08,34804,-0.000419,0.021883,0.002273,3.019388,2.3e-05,0.0,0.630658,0.793295,0.768639,0.783724,0.951823,1.393524,7.0,0.998446,0.000724,0.000829,0.0
3250,2496000,5.5299539170508e-07,539.8,0.69,1.763446,71.31,35307,-3.7e-05,0.018254,0.003072,3.034928,0.0,0.0,0.662266,0.67225,0.779932,0.79362,0.989583,1.376812,8.0,0.998536,0.000687,0.000777,0.0
