event_id,d1,n_near,n_block,n_def,presser_line,presser_x,ball_x,ball_y,back_line_x,mid_line_x,back_gap_max,back_width,highest_att_x,att_line_x,rel_back,rel_mid,excursion,committed,engaged
018f0519-fb2d-4375-bd32-6ff4e7f7cc5c,5.120705498584342,0,1,9,back,65.97471617181915,70.6125,56.695,62.81468004398366,46.58153197142393,15.57099862649547,34.15836153195761,75.45112487147155,68.96604315964066,7.79781995601634,24.03096802857607,3.1600361278354967,False,False
01dbe020-8c90-410e-bb4b-4343c4b8c164,0.45124538477771997,2,2,9,back,61.87136925518502,62.3,6.12,59.69201918036026,46.925121609653104,12.975143411509972,29.153060985202057,76.03502661821443,69.89746571259926,2.607980819639735,15.374878390346893,2.179350074824761,True,True
01e34c8f-0abf-4cc1-b5d0-15bff02c8f83,3.517100255096298,2,2,9,back,63.327161898762995,60.2875,47.855,64.63219894516365,51.543347840710695,12.757697354695722,31.602906334175056,75.14032786133208,70.74856952113319,-4.34469894516365,8.744152159289307,-1.3050370464006562,True,False
020c9ae7-a69a-4e23-b8d5-2ab9214deac7,15.508123436558474,0,0,9,back,73.02330585199363,86.8875,35.275,64.54233970305305,50.76739117006362,10.100982032929608,25.82548702594641,86.88749933242798,76.52552797105515,22.345160296946958,36.120108829936385,8.480966148940581,False,False
02754459-29d0-4cab-aca2-4acfd3922a45,2.1785548944548605,1,4,9,mid,53.35000484280853,55.475,11.645,70.85617408365366,52.800080755882135,15.64464564575116,34.244112742556986,80.2296124001596,77.36832658475655,-15.381174083653654,2.6749192441178664,-17.506169240845125,True,True
0295f918-ef38-4395-aa3d-46fb438fc795,3.0500915837058837,2,2,8,back,62.31818943352905,64.75,1.53,67.56651033134744,51.16305760347537,16.095622202219843,38.1811829567374,80.93928839155862,72.34721771554476,-2.8165103313474447,13.586942396524627,-5.248320897818395,True,False
02c586e9-e589-46fc-ba21-a4ae10e750dc,1.2319370906947251,1,2,9,mid,54.89692347223351,55.475,6.715,72.4207882648545,54.55904764668327,13.132598300490674,32.87231610786254,77.58642102847335,69.96804120872281,-16.945788264854492,0.9159523533167331,-17.523864792620984,True,True
02fdcc28-e39a-4675-ba67-120ad8d1bc96,14.077887589456411,0,0,8,back,70.9882354321804,82.6,14.705,64.64584242123507,53.1008974996089,10.591752426007892,28.032449860151672,97.60152255762085,83.82175703969571,17.95415757876492,29.499102500391096,6.3423930109453295,False,False
02ff400b-73c8-4f10-ab93-5ee2a7c5ac19,6.762163644798717,0,2,9,back,69.8398108914746,66.4125,20.4,62.92543959255497,48.19261779856048,16.080183517640997,29.44881446000189,73.8166010633792,70.94833634472084,3.4870604074450213,18.219882201439518,6.914371298919626,False,False
03098e2d-d3c2-4d0c-b16c-6edd4a56f720,23.881935844635507,0,0,9,mid,62.65642027603896,38.85000000000001,31.11,70.26195396953568,61.93228970684041,17.595967017275974,27.97063309945546,72.16074234398057,67.68113360675807,-31.411953969535674,-23.0822897068404,-7.605533693496724,False,False
