ticks,seconds,ball_x,presser,path_m,net_m,any_engaged
56,2.24,66.81961875,Away_21,4.269730334350504,4.20505841815545,True
24,0.96,65.94739375,Away_18,3.2966987063340225,3.2855005889514,True
22,0.88,75.95575909090908,Away_22,2.3041197863635685,2.199604255883321,True
15,0.6,74.55238,Away_18,0.42931226464272415,0.18712132989053132,True
19,0.76,82.28932894736842,Away_22,4.349322228579352,4.341901951921531,True
15,0.6,94.49601,Away_20,4.036123352219462,4.035388201511714,True
92,3.68,53.341164130434784,Away_24,15.768036725592427,10.878041776441204,True
65,2.6,57.052945384615384,Away_21,14.471962854587279,13.96506160353043,True
37,1.48,83.00477027027027,Away_22,7.094464527918564,7.059256926908101,True
12,0.48,91.562275,Away_16,2.0662882155586577,2.0621557473673033,True
35,1.4,48.14307,Away_23,8.644840067584036,8.63788108880876,True
60,2.4,66.9613175,Away_21,10.03649842187285,9.701218244246446,True
43,1.72,83.85297558139534,Away_21,1.8876998392328521,0.9523980328098092,True
65,2.6,87.60235615384616,Away_17,9.434433658070308,8.136839964169136,True
52,2.08,68.82570288461538,Away_18,9.115275759480527,8.584232922567992,True
31,1.24,57.30107419354839,Away_22,3.2960946630143066,3.0082623662340335,True
16,0.64,70.83103125,Away_16,2.7847047312081847,2.773584106098097,True
50,2.0,72.910971,Away_20,4.513441631502421,2.500511599033276,True
23,0.92,88.34298260869565,Away_16,6.384547440278178,6.375303634776944,True
8,0.32,98.2960125,Away_17,1.0565128452454728,1.0547900409086168,True
5,0.2,51.13731,Away_21,0.32546427136036465,0.3253994297782288,True
13,0.52,56.00683846153846,Away_18,1.1336048116064084,1.133513718664227,True
5,0.2,60.87627,Away_16,0.2934750013607048,0.29343116415950005,True
59,2.36,46.31630084745763,Away_24,7.4734799799192455,4.271067648270163,True
7,0.28,48.499050000000004,Away_23,0.16485165401689678,0.1647969672051061,True
94,3.76,64.1928335106383,Away_24,17.553585248490656,16.930614986172237,True
29,1.16,76.69554827586207,Away_21,6.578941710878399,6.558773599507775,True
90,3.6,91.51513,Away_22,3.9727485067885224,2.6897230456870496,True
51,2.04,95.23882941176471,Away_20,4.926372468304597,4.873345153475181,True
35,1.4,89.79123,Away_22,4.837460459490929,4.798385978805781,True
10,0.4,92.44242,Away_21,0.5763039563789202,0.5760424984321825,True
12,0.48,96.64628750000001,Away_21,2.5292442711666268,2.5274598973871023,True
8,0.32,100.4395875,Away_16,1.1941441552140022,1.1938507746364402,True
61,2.44,99.36950409836065,Away_15,10.297853312822566,9.708434026659498,True
19,0.76,53.125800000000005,Away_18,2.3328921175666277,2.3309428257466984,True
73,2.92,54.570499315068496,Away_18,8.240524942166736,4.584600523764315,True
27,1.08,58.76056666666667,Away_23,4.726298360347938,4.714640157647241,True
