event_id,match_id,line,slot,x,y,ball_x,ball_y,dx_from_line,attacker_idx
d442c759-5110-452b-9e4e-9a8d131e1fc9,3930158,att,,30.254718501269203,41.98269205770284,41.824999999999996,62.475,6.903976269579701,2.0
d442c759-5110-452b-9e4e-9a8d131e1fc9,3930158,att,,39.92070079002367,46.86455346040673,41.824999999999996,62.475,16.56995855833417,3.0
d442c759-5110-452b-9e4e-9a8d131e1fc9,3930158,att,,25.51959042220769,52.34894710423965,41.824999999999996,62.475,2.1688481905181867,4.0
d442c759-5110-452b-9e4e-9a8d131e1fc9,3930158,att,,38.862382151317945,58.62789339475694,41.824999999999996,62.475,15.511639919628443,5.0
d442c759-5110-452b-9e4e-9a8d131e1fc9,3930158,att,,28.77647672165287,61.04010035496351,41.824999999999996,62.475,5.425734489963368,6.0
d442c759-5110-452b-9e4e-9a8d131e1fc9,3930158,att,,41.82499933242798,62.475,41.824999999999996,62.475,18.474257100738477,7.0
d442c759-5110-452b-9e4e-9a8d131e1fc9,3930158,att,,36.98757618673167,63.81854741493637,41.824999999999996,62.475,13.63683395504217,8.0
d442c759-5110-452b-9e4e-9a8d131e1fc9,3930158,att,,43.204111667381014,64.25757357481109,41.824999999999996,62.475,19.853369435691512,9.0
bc9a25b5-b8a3-4175-a1fe-088cd7507a2b,3930158,back,0.0,41.70453225042611,24.71228450155769,43.8375,11.39,3.9822244399603406,
bc9a25b5-b8a3-4175-a1fe-088cd7507a2b,3930158,back,1.0,39.910090717624584,25.23494248985701,43.8375,11.39,2.1877829071588124,
bc9a25b5-b8a3-4175-a1fe-088cd7507a2b,3930158,back,2.0,28.75168454078127,28.244735337410752,43.8375,11.39,-8.970623269684502,
bc9a25b5-b8a3-4175-a1fe-088cd7507a2b,3930158,back,3.0,38.493815481483054,36.68201448604633,43.8375,11.39,0.7715076710172823,
bc9a25b5-b8a3-4175-a1fe-088cd7507a2b,3930158,back,4.0,39.75141606201383,46.016939521435305,43.8375,11.39,2.0291082515480596,
bc9a25b5-b8a3-4175-a1fe-088cd7507a2b,3930158,mid,5.0,47.7673403007133,16.73048421412046,43.8375,11.39,0.2734192855776314,
bc9a25b5-b8a3-4175-a1fe-088cd7507a2b,3930158,mid,6.0,47.60585104870061,25.501538861322185,43.8375,11.39,0.11193003356493847,
bc9a25b5-b8a3-4175-a1fe-088cd7507a2b,3930158,mid,7.0,44.49728920582987,29.623219496917564,43.8375,11.39,-2.9966318093057964,
bc9a25b5-b8a3-4175-a1fe-088cd7507a2b,3930158,mid,8.0,50.105203505298896,44.5182930433123,43.8375,11.39,2.6112824901632266,
bc9a25b5-b8a3-4175-a1fe-088cd7507a2b,3930158,att,,43.83749866485596,11.389999675750731,43.8375,11.39,11.07441722647296,0.0
bc9a25b5-b8a3-4175-a1fe-088cd7507a2b,3930158,att,,37.219409590940124,21.668775402432832,43.8375,11.39,4.456328152557127,1.0
bc9a25b5-b8a3-4175-a1fe-088cd7507a2b,3930158,att,,46.1933401564808,24.05108698593453,43.8375,11.39,13.430258718097804,2.0
bc9a25b5-b8a3-4175-a1fe-088cd7507a2b,3930158,att,,57.94920750104527,25.91268939689135,43.8375,11.39,25.186126062662275,3.0
bc9a25b5-b8a3-4175-a1fe-088cd7507a2b,3930158,att,,36.366629252250824,30.183567982388297,43.8375,11.39,3.603547813867827,4.0
bc9a25b5-b8a3-4175-a1fe-088cd7507a2b,3930158,att,,26.25327145872486,35.21556091683048,43.8375,11.39,-6.509809979658137,5.0
bc9a25b5-b8a3-4175-a1fe-088cd7507a2b,3930158,att,,31.213015451616187,44.147368944644626,43.8375,11.39,-1.5500659867668105,6.0
bc9a25b5-b8a3-4175-a1fe-088cd7507a2b,3930158,att,,41.039260043098054,44.623723509705904,43.8375,11.39,8.276178604715057,7.0
c974af67-4cef-44f0-a6c0-9b65d58befd5,3930158,back,0.0,41.70453225042611,24.71228450155769,43.8375,11.39,3.9822244399603406,
c974af67-4cef-44f0-a6c0-9b65d58befd5,3930158,back,1.0,39.910090717624584,25.23494248985701,43.8375,11.39,2.1877829071588124,
c974af67-4cef-44f0-a6c0-9b65d58befd5,3930158,back,2.0,28.75168454078127,28.244735337410752,43.8375,11.39,-8.970623269684502,
c974af67-4cef-44f0-a6c0-9b65d58befd5,3930158,back,3.0,38.493815481483054,36.68201448604633,43.8375,11.39,0.7715076710172823,
c974af67-4cef-44f0-a6c0-9b65d58befd5,3930158,back,4.0,39.75141606201383,46.016939521435305,43.8375,11.39,2.0291082515480596,
c974af67-4cef-44f0-a6c0-9b65d58befd5,3930158,mid,5.0,47.7673403007133,16.73048421412046,43.8375,11.39,0.2734192855776314,
c974af67-4cef-44f0-a6c0-9b65d58befd5,3930158,mid,6.0,47.60585104870061,25.501538861322185,43.8375,11.39,0.11193003356493847,
c974af67-4cef-44f0-a6c0-9b65d58befd5,3930158,mid,7.0,44.49728920582987,29.623219496917564,43.8375,11.39,-2.9966318093057964,
c974af67-4cef-44f0-a6c0-9b65d58befd5,3930158,mid,8.0,50.105203505298896,44.5182930433123,43.8375,11.39,2.6112824901632266,
c974af67-4cef-44f0-a6c0-9b65d58befd5,3930158,att,,43.83749866485596,11.389999675750731,43.8375,11.39,11.07441722647296,0.0
c974af67-4cef-44f0-a6c0-9b65d58befd5,3930158,att,,37.219409590940124,21.668775402432832,43.8375,11.39,4.456328152557127,1.0
c974af67-4cef-44f0-a6c0-9b65d58befd5,3930158,att,,46.1933401564808,24.05108698593453,43.8375,11.39,13.430258718097804,2.0
c974af67-4cef-44f0-a6c0-9b65d58befd5,3930158,att,,57.94920750104527,25.91268939689135,43.8375,11.39,25.186126062662275,3.0
c974af67-4cef-44f0-a6c0-9b65d58befd5,3930158,att,,36.366629252250824,30.183567982388297,43.8375,11.39,3.603547813867827,4.0
c974af67-4cef-44f0-a6c0-9b65d58befd5,3930158,att,,26.25327145872486,35.21556091683048,43.8375,11.39,-6.509809979658137,5.0
c974af67-4cef-44f0-a6c0-9b65d58befd5,3930158,att,,31.213015451616187,44.147368944644626,43.8375,11.39,-1.5500659867668105,6.0
c974af67-4cef-44f0-a6c0-9b65d58befd5,3930158,att,,41.039260043098054,44.623723509705904,43.8375,11.39,8.276178604715057,7.0
c5679fc8-3575-466e-affc-6b548a3897d8,3930158,back,0.0,47.66681559090721,27.924198074208626,44.5375,61.029999999999994,1.475284765828654,
c5679fc8-3575-466e-affc-6b548a3897d8,3930158,back,1.0,47.16966170510711,41.06747202240892,44.5375,61.029999999999994,0.9781308800285515,
c5679fc8-3575-466e-affc-6b548a3897d8,3930158,back,2.0,40.32639756929379,45.95387193681427,44.5375,61.029999999999994,-5.8651332557847695,
c5679fc8-3575-466e-affc-6b548a3897d8,3930158,back,3.0,51.653575620746274,51.59004203346993,44.5375,61.029999999999994,5.462044795667715,
c5679fc8-3575-466e-affc-6b548a3897d8,3930158,back,4.0,44.14120363933841,55.27673557547551,44.5375,61.029999999999994,-2.0503271857401515,
c5679fc8-3575-466e-affc-6b548a3897d8,3930158,mid,5.0,58.976978730271796,35.09868295726012,44.5375,61.029999999999994,1.7642894399140374,
c5679fc8-3575-466e-affc-6b548a3897d8,3930158,mid,6.0,59.407476022412695,39.63867894936377,44.5375,61.029999999999994,2.1947867320549364,
c5679fc8-3575-466e-affc-6b548a3897d8,3930158,mid,7.0,56.28239425487789,53.24359435284376,44.5375,61.029999999999994,-0.9302950354798654,
c5679fc8-3575-466e-affc-6b548a3897d8,3930158,mid,8.0,54.18390815386866,61.00611481230176,44.5375,61.029999999999994,-3.0287811364891013,
c5679fc8-3575-466e-affc-6b548a3897d8,3930158,att,,49.27413374738756,14.640012597131241,44.5375,61.029999999999994,10.953823997337011,0.0
c5679fc8-3575-466e-affc-6b548a3897d8,3930158,att,,57.44516108331133,22.702908047183243,44.5375,61.029999999999994,19.124851333260786,1.0
c5679fc8-3575-466e-affc-6b548a3897d8,3930158,att,,39.121732719345715,32.699250324453295,44.5375,61.029999999999994,0.8014229692951673,2.0
