policy,x,y,radius,episode,arrived,max_control
random,86.0,34.0,12.0,13,0,
random,88.0,34.0,6.0,13,0,
random,88.0,34.0,8.0,13,0,
random,88.0,34.0,10.0,13,0,
random,88.0,34.0,12.0,13,0,
random,82.0,34.0,6.0,14,0,
random,82.0,34.0,8.0,14,0,
random,82.0,34.0,10.0,14,0,
random,82.0,34.0,12.0,14,1,0.176724
random,84.0,34.0,6.0,14,0,
random,84.0,34.0,8.0,14,0,
random,84.0,34.0,10.0,14,0,
random,84.0,34.0,12.0,14,0,
random,86.0,34.0,6.0,14,0,
random,86.0,34.0,8.0,14,0,
random,86.0,34.0,10.0,14,0,
random,86.0,34.0,12.0,14,0,
random,88.0,34.0,6.0,14,0,
random,88.0,34.0,8.0,14,0,
random,88.0,34.0,10.0,14,0,
random,88.0,34.0,12.0,14,0,
random,82.0,34.0,6.0,15,0,
random,82.0,34.0,8.0,15,0,
random,82.0,34.0,10.0,15,0,
random,82.0,34.0,12.0,15,0,
random,84.0,34.0,6.0,15,0,
random,84.0,34.0,8.0,15,0,
random,84.0,34.0,10.0,15,0,
random,84.0,34.0,12.0,15,0,
random,86.0,34.0,6.0,15,0,
random,86.0,34.0,8.0,15,0,
random,86.0,34.0,10.0,15,0,
random,86.0,34.0,12.0,15,0,
random,88.0,34.0,6.0,15,0,
random,88.0,34.0,8.0,15,0,
random,88.0,34.0,10.0,15,0,
random,88.0,34.0,12.0,15,0,
random,82.0,34.0,6.0,16,0,
random,82.0,34.0,8.0,16,0,
random,82.0,34.0,10.0,16,0,
random,82.0,34.0,12.0,16,0,
random,84.0,34.0,6.0,16,0,
random,84.0,34.0,8.0,16,0,
random,84.0,34.0,10.0,16,0,
random,84.0,34.0,12.0,16,0,
random,86.0,34.0,6.0,16,0,
random,86.0,34.0,8.0,16,0,
random,86.0,34.0,10.0,16,0,
random,86.0,34.0,12.0,16,0,
random,88.0,34.0,6.0,16,0,
random,88.0,34.0,8.0,16,0,
random,88.0,34.0,10.0,16,0,
random,88.0,34.0,12.0,16,0,
random,82.0,34.0,6.0,17,0,
random,82.0,34.0,8.0,17,0,
random,82.0,34.0,10.0,17,0,
random,82.0,34.0,12.0,17,0,
random,84.0,34.0,6.0,17,0,
random,84.0,34.0,8.0,17,0,
random,84.0,34.0,10.0,17,0,
random,84.0,34.0,12.0,17,0,
random,86.0,34.0,6.0,17,0,
random,86.0,34.0,8.0,17,0,
random,86.0,34.0,10.0,17,0,
random,86.0,34.0,12.0,17,0,
random,88.0,34.0,6.0,17,0,
random,88.0,34.0,8.0,17,0,
random,88.0,34.0,10.0,17,0,
random,88.0,34.0,12.0,17,0,
random,82.0,34.0,6.0,18,0,
random,82.0,34.0,8.0,18,0,
random,82.0,34.0,10.0,18,0,
random,82.0,34.0,12.0,18,0,
random,84.0,34.0,6.0,18,0,
random,84.0,34.0,8.0,18,0,
random,84.0,34.0,10.0,18,0,
random,84.0,34.0,12.0,18,0,
random,86.0,34.0,6.0,18,0,
random,86.0,34.0,8.0,18,0,
random,86.0,34.0,10.0,18,0,
random,86.0,34.0,12.0,18,0,
random,88.0,34.0,6.0,18,0,
random,88.0,34.0,8.0,18,0,
random,88.0,34.0,10.0,18,0,
random,88.0,34.0,12.0,18,0,
random,82.0,34.0,6.0,19,0,
random,82.0,34.0,8.0,19,1,0.336804
random,82.0,34.0,10.0,19,1,0.35426
random,82.0,34.0,12.0,19,1,0.359414
random,84.0,34.0,6.0,19,0,
random,84.0,34.0,8.0,19,1,0.236639
random,84.0,34.0,10.0,19,1,0.272841
random,84.0,34.0,12.0,19,1,0.290809
random,86.0,34.0,6.0,19,0,
random,86.0,34.0,8.0,19,0,
random,86.0,34.0,10.0,19,1,0.196548
random,86.0,34.0,12.0,19,1,0.223427
random,88.0,34.0,6.0,19,0,
random,88.0,34.0,8.0,19,0,
random,88.0,34.0,10.0,19,1,0.126168
random,88.0,34.0,12.0,19,1,0.160557
random,82.0,34.0,6.0,20,0,
random,82.0,34.0,8.0,20,0,
random,82.0,34.0,10.0,20,0,
random,82.0,34.0,12.0,20,0,
random,84.0,34.0,6.0,20,0,
random,84.0,34.0,8.0,20,0,
random,84.0,34.0,10.0,20,0,
random,84.0,34.0,12.0,20,0,
random,86.0,34.0,6.0,20,0,
random,86.0,34.0,8.0,20,0,
random,86.0,34.0,10.0,20,0,
