seed,outcome,ticks,passes,passes_in_disc,mean_pass_len,dwell_ticks,spread_mean,spread_final,n_in_disc_mean,n_in_disc_final,n_in_disc_max,zc_mean,zc_final,carrier_clear_mean,speed_mean,possession_rate,slow,crowd_disc,crowd_near,tight,zone_dwell,press,offside,stall,policy
10119,success,66,6,2,10.197299033473342,28,13.224740626014293,13.647963705779892,1.4090909090909092,3.0,3.0,0.332636630896366,0.4276459217071533,5.016226739792791,1.023514641530742,0.09090909090909091,0.9303030303030304,0.0,0.0,0.0,0.42424242424242425,0.030303030303030304,0.0,0.16666666666666666,vanilla_10m_cuda_rung2/final
10120,success,79,7,2,11.177907637755254,12,17.42685616685702,17.553878046732944,2.0632911392405062,3.0,3.0,0.3735480361346957,0.41619157791137695,5.5164914707718475,1.107701647264377,0.08860759493670886,0.888607594936709,0.0,0.0,0.0,0.1518987341772152,0.0379746835443038,0.2911392405063291,0.189873417721519,vanilla_10m_cuda_rung2/final
10121,success,86,10,0,7.00608232614851,4,15.511338304252204,17.16818599980727,0.13953488372093023,2.0,2.0,0.12372127147174852,0.48878368735313416,3.9373062566387182,1.1617549091782278,0.13953488372093023,0.8697674418604654,0.0,0.29069767441860467,0.0,0.046511627906976744,0.05813953488372093,0.0,0.11627906976744186,vanilla_10m_cuda_rung2/final
10122,failure,72,3,0,31.149467331023118,0,16.541073709902726,17.48485510741355,0.0,0.0,0.0,0.004485223059974588,0.01723989099264145,6.166447610481575,1.09362496577008,0.05555555555555555,0.9055555555555554,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.3472222222222222,vanilla_10m_cuda_rung2/final
10123,success,81,6,0,13.2732089354957,8,18.268562356563862,18.535210299786176,2.5555555555555554,4.0,4.0,0.5802023230511465,0.4391539394855499,7.97827320065298,1.2076160825762166,0.09876543209876543,0.8543209876543211,0.06172839506172839,0.0,0.0,0.09876543209876543,0.012345679012345678,0.1728395061728395,0.12345679012345678,vanilla_10m_cuda_rung2/final
10124,failure,89,5,1,21.56748298215853,18,25.934332012479235,25.33841291154308,1.0786516853932584,2.0,2.0,0.2233177458637216,0.5255026817321777,4.995004177886288,1.1961481099539977,0.0449438202247191,0.8730337078651688,0.0,0.0,0.0,0.20224719101123595,0.011235955056179775,0.0,0.2808988764044944,vanilla_10m_cuda_rung2/final
10125,success,61,6,1,8.862626735787213,11,17.411697020926944,17.072953800585786,2.360655737704918,3.0,3.0,0.4802515052381109,0.42878738045692444,4.9133489216954125,1.1651830810143162,0.09836065573770492,0.8852459016393444,0.0,0.0,0.0,0.18032786885245902,0.03278688524590164,0.0,0.19672131147540983,vanilla_10m_cuda_rung2/final
10126,failure,21,1,0,27.506892578403306,0,19.786480745592257,19.562811028175954,0.0,0.0,0.0,0.010237192313763358,0.011187425814568996,1.3580567424415078,1.0197645235610906,0.047619047619047616,0.8809523809523812,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,vanilla_10m_cuda_rung2/final
10127,success,65,6,1,9.95231486541415,5,14.496825796908986,15.432532107022501,0.5384615384615384,2.0,2.0,0.15635248323759207,0.46666958928108215,2.671992089853685,1.2245957458856935,0.1076923076923077,0.8430769230769231,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.2,vanilla_10m_cuda_rung2/final
10128,success,118,7,2,21.07788457750104,13,16.895531016965318,18.230597201421585,1.0677966101694916,3.0,3.0,0.16530931414247063,0.4567216634750366,8.00733305926647,1.1579717810283074,0.059322033898305086,0.8686440677966105,0.0,0.0,0.0,0.11016949152542373,0.03389830508474576,0.0,0.3389830508474576,vanilla_10m_cuda_rung2/final
