spread,nn_mean,nn_min,n_in_disc,n_near,zone_control,ball_d_zone,ball_in_disc,carried,in_flight,carrier_clear,n_offside,max_offside,mean_speed,slow_frac,pass_started,pass_len,tick,seed,policy
15.6857753593798,8.09346936907423,2.82603874911328,3,2,0.38728201389312744,36.030717675455705,0,1,0,13.11791709606285,0,-8.598228454589844,1.4827614890356933,0.7,0,nan,98,10000,c_lagr_075_040/final
15.628348521944421,8.047687367412964,2.810399407303629,3,2,0.3832995593547821,35.73528922856032,0,1,0,13.261607331643177,0,-8.643630981445312,1.652244041410185,0.8,0,nan,99,10000,c_lagr_075_040/final
15.577581820352014,8.01355519667753,2.8421664862655063,3,2,0.38741645216941833,35.462995923480406,0,1,0,13.405675333806037,0,-8.669219970703125,1.6575040857227947,0.7,0,nan,100,10000,c_lagr_075_040/final
15.54134810516853,7.993823233103096,2.9115537249508012,3,2,0.3900461494922638,35.21636417042804,0,1,0,13.553914373754488,0,-8.658210754394531,1.4942039572436907,0.7,0,nan,101,10000,c_lagr_075_040/final
15.497673700741823,7.974099426865925,2.9544980097200813,3,2,0.40466347336769104,34.96288954444047,0,1,0,13.64219980474249,0,-8.63214111328125,1.5958318235352391,0.7,0,nan,102,10000,c_lagr_075_040/final
15.45431843933695,7.965849189480005,3.024082142156255,3,0,0.41262876987457275,34.72483986610325,0,1,0,13.69782641869207,0,-8.578971862792969,1.3567972892449416,0.6,0,nan,103,10000,c_lagr_075_040/final
15.417003509779084,7.975480745277224,2.9665729078837444,3,2,0.4079879820346832,34.529908809851456,0,1,0,13.75992062039619,0,-8.466545104980469,1.5097496172854832,0.7,0,nan,104,10000,c_lagr_075_040/final
15.383666396102836,8.021643533010138,2.8992539335250376,3,2,0.4103889465332031,34.38762647952183,0,1,0,13.81024337667821,0,-8.336181640625,1.4508002347826405,0.6,0,nan,105,10000,c_lagr_075_040/final
15.346402229538347,8.062776832599791,2.844045920108998,3,2,0.4162074625492096,34.248168996198274,0,1,0,13.854570453385104,0,-8.252227783203125,1.4376951862511673,0.9,0,nan,106,10000,c_lagr_075_040/final
15.309313416568179,8.070998723416533,2.7696266195543,3,2,0.41545867919921875,34.11065950350646,0,0,1,nan,0,-8.205604553222656,1.4177557612895466,0.7,1,30.19446352652864,107,10000,c_lagr_075_040/final
15.273172910536625,8.06386944112659,2.7139794498964576,3,2,0.4109295904636383,32.63072030566748,0,0,1,nan,0,-8.177459716796875,1.4169884953198388,0.7,0,nan,108,10000,c_lagr_075_040/final
15.226127858567958,8.070608036617983,2.7135495837109405,3,2,0.41471198201179504,31.152027453551767,0,0,1,nan,0,-8.139686584472656,1.5476279472571421,0.6,0,nan,109,10000,c_lagr_075_040/final
15.170472636080188,8.10192462269653,2.709024097769291,3,2,0.4150902330875397,29.67476726386552,0,0,1,nan,0,-8.124397277832031,1.6046868974560944,0.6,0,nan,110,10000,c_lagr_075_040/final
15.119713680909058,8.140551216550296,2.7053234146211427,3,2,0.4174923896789551,28.1991648947256,0,0,1,nan,0,-8.150215148925781,1.5447311350764816,0.7,0,nan,111,10000,c_lagr_075_040/final
15.072539128274306,8.15190393546106,2.675584242663862,3,2,0.4249539375305176,26.725494948697644,0,0,1,nan,0,-8.207534790039062,1.6407681335314368,0.7,0,nan,112,10000,c_lagr_075_040/final
15.009617982253141,8.136694622006669,2.5987801744249333,3,2,0.4220663011074066,25.25409572016786,0,0,1,nan,0,-8.327369689941406,1.8261201323212977,0.7,0,nan,113,10000,c_lagr_075_040/final
14.938610663924305,8.108226330652675,2.5264544297407485,3,2,0.41056856513023376,23.78538862267204,0,0,1,nan,0,-8.411003112792969,1.6236211238259486,0.7,0,nan,114,10000,c_lagr_075_040/final
14.866916786871252,8.08504521659817,2.5082689712114186,3,2,0.39419737458229065,22.319905109952217,0,0,1,nan,0,-8.398765563964844,1.6762201996058692,0.7,0,nan,115,10000,c_lagr_075_040/final
14.792779552581342,8.054572234405324,2.4956057256528865,3,2,0.40545979142189026,20.858324649899476,0,0,1,nan,0,-8.326072692871094,1.7970254303527067,0.6,0,nan,116,10000,c_lagr_075_040/final
14.716288686838118,7.997210727768467,2.422564139133754,3,2,0.39838218688964844,19.401529351613906,0,0,1,nan,0,-8.241302490234375,1.8954317680713626,0.6,0,nan,117,10000,c_lagr_075_040/final
14.649537099137182,7.922452520649999,2.348486785010166,3,2,0.39708319306373596,17.95068523807521,0,0,1,nan,0,-8.050758361816406,1.6548511213760153,0.8,0,nan,118,10000,c_lagr_075_040/final
14.591594211113357,7.861302847662936,2.2715532209858256,3,2,0.3835911750793457,16.507360260742555,0,0,1,nan,0,-7.8322296142578125,1.516379708242976,0.7,0,nan,119,10000,c_lagr_075_040/final
14.535751849867987,7.8111855207564584,2.157274206662678,3,2,0.3797864615917206,15.073714471423754,0,0,1,nan,0,-7.619636535644531,1.3215502640818406,0.9,0,nan,120,10000,c_lagr_075_040/final
14.485458147913718,7.787366621658677,2.0914757699972384,3,2,0.37932515144348145,13.652797371991326,0,0,1,nan,0,-7.43963623046875,1.2775444293660985,0.9,0,nan,121,10000,c_lagr_075_040/final
14.444851324575794,7.781369019637822,2.0414084241086274,3,2,0.37054410576820374,12.249039436701667,0,0,1,nan,0,-7.271415710449219,1.1472182088367415,0.9,0,nan,122,10000,c_lagr_075_040/final
14.410551525307799,7.764985185051861,1.9442017139282322,3,2,0.3490256369113922,10.869091088479669,0,0,1,nan,0,-7.120460510253906,1.1993185955623964,0.8,0,nan,123,10000,c_lagr_075_040/final
14.382049182333173,7.748316973418116,1.8612089735653614,3,2,0.35755065083503723,9.523300841849222,0,0,1,nan,0,-7.0342864990234375,1.0773024750314852,1.0,0,nan,124,10000,c_lagr_075_040/final
14.355942020167015,7.727489545972344,1.7705245199515887,3,2,0.35116520524024963,8.22846370954167,0,0,1,nan,0,-6.976020812988281,1.3034310228216817,0.8,0,nan,125,10000,c_lagr_075_040/final
14.33016678646159,7.710885123743944,1.7039786845462934,3,2,0.34909963607788086,7.012841615850359,1,0,1,nan,0,-6.8648834228515625,1.2053192634106509,1.0,0,nan,126,10000,c_lagr_075_040/final
14.309533178565328,7.699340878324884,1.6904285742296625,4,2,0.35025009512901306,5.925410175756912,1,0,1,nan,0,-6.69378662109375,1.1109946738973777,0.9,0,nan,127,10000,c_lagr_075_040/final
